Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
BWA,BorgWarner Inc.,30.59,$6.31B,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/bwa
MRO,Marathon Oil Corporation,7.93,$6.31B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mro
MSG,The Madison Square Garden Company,263.09,$6.31B,2015,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/msg
ACC,American Campus Communities Inc,45.12,$6.2B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acc
PLNT,"Planet Fitness, Inc.",72.07,$6.28B,2015,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/plnt
MOS,Mosaic Company (The),16.55,$6.27B,n/a,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/mos
CACI,"CACI International, Inc.",248.97,$6.24B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/caci
ORI,Old Republic International Corporation,20.52,$6.23B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ori
COLD,Americold Realty Trust,31.1,$6.22B,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cold
TGE,"Tallgrass Energy, LP",22.08,$6.22B,2015,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/tge
PEN,"Penumbra, Inc.",174.75,$6.1B,2015,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/pen
NYT,New York Times Company (The),37.08,$6.16B,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/nyt
SMG,Scotts Miracle-Gro Company (The),110.78,$6.16B,1992,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/smg
WSO,"Watsco, Inc.",160.81,$6.13B,n/a,Consumer Durables,Industrial Machinery/Components,https://old.nasdaq.com/symbol/wso
PAC,"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",109,$6.11B,2006,Transportation,Aerospace,https://old.nasdaq.com/symbol/pac
KSS,Kohl&#39;s Corporation,38.92,$6.09B,1992,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/kss
DXC,DXC Technology Company,23.92,$6.07B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/dxc
ENIC,Enel Chile S.A.,4.36,$6.03B,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/enic
OC,Owens Corning Inc,55.46,$6.01B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/oc
AXS,Axis Capital Holdings Limited,59.52,$5B,2003,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/axs
BXMT,"Capital Trust, Inc.",36.94,$5B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/bxmt
COE,China Online Education Group,29.33,$598.53M,2016,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/coe
PACK,Ranpak Holdings Corp,8.34,$590.44M,2018,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/pack
CL,Colgate-Palmolive Company,70.15,$59.98B,n/a,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/cl
BBW,"Build-A-Bear Workshop, Inc.",3.92,$59.66M,2004,Consumer Services,Recreational Products/Toys,https://old.nasdaq.com/symbol/bbw
RIO,Rio Tinto Plc,47.26,$59.35B,2002,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/rio
GCI,"Gannett Co., Inc.",4.8,$589.83M,2014,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/gci
LPG,Dorian LPG Ltd.,10.93,$588.44M,2014,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/lpg
RUBI,"The Rubicon Project, Inc.",10.67,$587.24M,2014,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/rubi
VRS,Verso Corporation,16.79,$582.69M,2016,Basic Industries,Paper,https://old.nasdaq.com/symbol/vrs
CHRA,"Charah Solutions, Inc.",1.99,$58.95M,2018,Basic Industries,Environmental Services,https://old.nasdaq.com/symbol/chra
PVL,Permianville Royalty Trust,1.77,$58.41M,2011,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/pvl
DVD,"Dover Motorsports, Inc.",1.6,$58.31M,1996,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/dvd
NX,Quanex Building Products Corporation,17.46,$577.64M,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/nx
DRD,DRDGOLD Limited,6.68,$577.55M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/drd
BTU,Peabody Energy Corporation,5.94,$576.83M,2017,Energy,Coal Mining,https://old.nasdaq.com/symbol/btu
BXG,Bluegreen Vacations Corporation,7.73,$575.47M,2017,Finance,Real Estate,https://old.nasdaq.com/symbol/bxg
RVI,Retail Value Inc.,30.09,$573.28M,2018,Finance,Real Estate,https://old.nasdaq.com/symbol/rvi
I,Intelsat S.A.,4.06,$573.13M,2013,Consumer Services,Telecommunications Equipment,https://old.nasdaq.com/symbol/i
PBI,Pitney Bowes Inc.,3.32,$568.21M,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/pbi
FINV,FinVolution Group,1.91,$567.95M,2017,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/finv
TBI,"TrueBlue, Inc.",14.7,$567.84M,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/tbi
TG,Tredegar Corporation,17.02,$567.62M,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/tg
VMW,"Vmware, Inc.",135.63,$56.58B,2007,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/vmw
AHC,A.H. Belo Corporation,2.635,$56.56M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc
PNC,"PNC Financial Services Group, Inc. (The)",130.62,$56.56B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/pnc
SNR,New Senior Investment Group Inc.,6.72,$557.52M,2014,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/snr
IHC,Independence Holding Company,37.5,$556.86M,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/ihc
PLT,"Plantronics, Inc.",13.88,$554.2M,1994,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/plt
BLW,Citigroup Inc.,15.37,$550.75M,2003,Finance,Major Banks,https://old.nasdaq.com/symbol/blw
BABA,Alibaba Group Holding Limited,205.03,$550.04B,2014,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/baba
PRT,PermRock Royalty Trust,4.6,$55.96M,2018,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/prt
UBER,"Uber Technologies, Inc.",32.45,$55.71B,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/uber
NOC,Northrop Grumman Corporation,331.57,$55.58B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/noc
GPN,Global Payments Inc.,183.75,$55.06B,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/gpn
TLRA,"Telaria, Inc.",11.56,$549.53M,2013,Technology,Advertising,https://old.nasdaq.com/symbol/tlra
INSW,"International Seaways, Inc.",18.75,$548.9M,2016,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/insw
CARS,Cars.com Inc.,8.22,$548.79M,2017,Technology,EDP Services,https://old.nasdaq.com/symbol/cars
DBD,Diebold Nixdorf Incorporated,7.13,$547.54M,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/dbd
WOW,"WideOpenWest, Inc.",6.49,$546.98M,2017,Consumer Services,Television Services,https://old.nasdaq.com/symbol/wow
KNOP,KNOT Offshore Partners LP,16.69,$545.66M,2013,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/knop
EBF,"Ennis, Inc.",20.78,$541.55M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/ebf
WMC,Western Asset Mortgage Capital Corporation,10.17,$541.29M,2012,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/wmc
TAK,Takeda Pharmaceutical Company Limited,17.63,$54.92B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tak
WBK,Westpac Banking Corporation,15.64,$54.58B,n/a,Finance,Commercial Banks,https://old.nasdaq.com/symbol/wbk
HCR,Hi-Crush Inc.,0.5401,$54.48M,2012,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/hcr
ITW,Illinois Tool Works Inc.,170.13,$54.25B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/itw
MVO,MV Oil Trust,4.7,$54.05M,2007,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mvo
CEL,"Cellcom Israel, Ltd.",3.6,$537M,2007,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/cel
VIST,"Vista Oil & Gas, S.A.B. de C.V.",6.16,$535.52M,2019,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/vist
FSM,Fortuna Silver Mines Inc.,3.32,$532.17M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/fsm
BBD,Banco Bradesco Sa,6.72,$53.98B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/bbd
MMC,"Marsh & McLennan Companies, Inc.",106.88,$53.86B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/mmc
SCHW,The Charles Schwab Corporation,41.91,$53.84B,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/schw
RTN,Raytheon Company,193.26,$53.81B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/rtn
AFI,"Armstrong Flooring, Inc.",2.5,$53.75M,2016,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/afi
TGT,Target Corporation,105.62,$53.52B,n/a,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/tgt
LXU,Lsb Industries Inc.,1.81,$53.1M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/lxu
ACRE,Ares Commercial Real Estate Corporation,15.76,$526.21M,2012,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acre
GTX,Garrett Motion Inc.,7,$523.78M,2018,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/gtx
NVGS,Navigator Holdings Ltd.,9.32,$520.3M,2013,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/nvgs
DKL,"Delek Logistics Partners, L.P.",21.29,$520.02M,2012,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/dkl
BSX,Boston Scientific Corporation,37.92,$52.94B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/bsx
ECL,Ecolab Inc.,183.48,$52.89B,n/a,Basic Industries,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/ecl
AMX,"America Movil, S.A.B. de C.V.",15.91,$52.5B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amx
AMOV,"America Movil, S.A.B. de C.V.",15.9168,$52.52B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amov
CYD,China Yuchai International Limited,12.57,$513.59M,1994,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cyd
ABEV,Ambev S.A.,3.25,$51.12B,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/abev
ATEN,"A10 Networks, Inc.",6.57,$509.7M,2014,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/aten
WSR,Whitestone REIT,12.53,$509.14M,2010,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/wsr
CHK,Chesapeake Energy Corporation,0.2601,$508.28M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/chk
FSB,"Franklin Financial Network, Inc.",34.2,$507.29M,2015,Finance,Major Banks,https://old.nasdaq.com/symbol/fsb
TDW,Tidewater Inc.,12.93,$507.26M,2017,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/tdw
DCO,Ducommun Incorporated,43.68,$506.99M,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/dco
REVG,"REV Group, Inc.",8.07,$505.24M,2017,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/revg
QEP,"QEP Resources, Inc.",2.12,$504.12M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/qep
CALX,"Calix, Inc",8.9,$503.43M,2010,Consumer Services,Telecommunications Equipment,https://old.nasdaq.com/symbol/calx
COP,ConocoPhillips,47.13,$50.95B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cop
VALE,VALE S.A.,9.92,$50.87B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/vale
ICE,Intercontinental Exchange Inc.,91.82,$50.82B,2005,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ice
EQNR,Equinor ASA,15.26,$50.42B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/eqnr
DE,Deere & Company,159.99,$50.37B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/de
TRP,TC Energy Corporation,53.46,$50.17B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/trp
EPD,Enterprise Products Partners L.P.,22.89,$50.11B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/epd
CUBE,CubeSmart,30.51,$5.91B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cube
SPR,"Spirit Aerosystems Holdings, Inc.",56.04,$5.8B,2006,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/spr
ALV,"Autoliv, Inc.",67.51,$5.89B,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/alv
PLAN,"Anaplan, Inc.",44.03,$5.88B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/plan
DCI,"Donaldson Company, Inc.",46.38,$5.87B,n/a,Capital Goods,Pollution Control Equipment,https://old.nasdaq.com/symbol/dci
MDU,"MDU Resources Group, Inc.",29.18,$5.85B,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/mdu
IAA,"IAA, Inc.",43.71,$5.84B,2019,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/iaa
RHI,Robert Half International Inc.,50.76,$5.84B,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/rhi
UMC,United Microelectronics Corporation,2.49,$5.83B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/umc
ESTC,Elastic N.V.,71.93,$5.82B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/estc
WF,Woori Bank,24.17,$5.82B,n/a,Finance,Commercial Banks,https://old.nasdaq.com/symbol/wf
TREX,"Trex Company, Inc.",98.62,$5.74B,n/a,Basic Industries,Forest Products,https://old.nasdaq.com/symbol/trex
PSO,"Pearson, Plc",7.26,$5.72B,n/a,Consumer Services,Books,https://old.nasdaq.com/symbol/pso
WES,"Western Midstream Partners, LP",12.61,$5.6B,2012,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/wes
JEF,Jefferies Financial Group Inc.,19.93,$5.68B,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/jef
UA,"Under Armour, Inc.",12.55,$5.67B,2016,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/ua
TV,Grupo Televisa S.A.,9.81,$5.66B,1993,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/tv
INGR,Ingredion Incorporated,84.59,$5.66B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/ingr
KNX,"Knight Transportation, Inc.",33.07,$5.64B,2017,Transportation,Trucking Freight/Courier Services,https://old.nasdaq.com/symbol/knx
HXL,Hexcel Corporation,67.37,$5.61B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/hxl
PWR,"Quanta Services, Inc.",39.42,$5.61B,n/a,Capital Goods,Engineering & Construction,https://old.nasdaq.com/symbol/pwr
HAE,Haemonetics Corporation,109.37,$5.5B,1991,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/hae
GFI,Gold Fields Limited,6.39,$5.56B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/gfi
TECK,Teck Resources Ltd,10.26,$5.54B,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/teck
HESM,Hess Midstream LP,19.37,$5.51B,2017,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/hesm
BWXT,"BWX Technologies, Inc.",56.77,$5.4B,n/a,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/bwxt
CUZ,Cousins Properties Incorporated,36.76,$5.4B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cuz
BRX,Brixmor Property Group Inc.,18.38,$5.48B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/brx
ARW,"Arrow Electronics, Inc.",67.8,$5.47B,n/a,Technology,Electronic Components,https://old.nasdaq.com/symbol/arw
JWN,"Nordstrom, Inc.",35.04,$5.44B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/jwn
SWI,SolarWinds Corporation,17.36,$5.41B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/swi
GPS,"Gap, Inc. (The)",14.19,$5.3B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/gps
COG,Cabot Oil & Gas Corporation,13.51,$5.38B,1990,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cog
FND,"Floor & Decor Holdings, Inc.",52.89,$5.37B,2017,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/fnd
REXR,"Rexford Industrial Realty, Inc.",47.12,$5.37B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/rexr
SMAR,Smartsheet Inc.,45.55,$5.35B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/smar
ITT,ITT Inc.,60.74,$5.33B,2011,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/itt
PE,"Parsley Energy, Inc.",12.87,$5.31B,2014,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/pe
IDA,"IDACORP, Inc.",103.22,$5.2B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/ida
FLS,Flowserve Corporation,40.41,$5.29B,n/a,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/fls
TPL,Texas Pacific Land Trust,678.2,$5.26B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/tpl
CHH,"Choice Hotels International, Inc.",94.15,$5.25B,n/a,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/chh
CW,Curtiss-Wright Corporation,123.06,$5.25B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cw
HFC,HollyFrontier Corporation,32.36,$5.24B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/hfc
LSI,"Life Storage, Inc.",112.07,$5.23B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/lsi
SKX,"Skechers U.S.A., Inc.",32.55,$5.1B,1999,Consumer Non-Durables,Shoe Manufacturing,https://old.nasdaq.com/symbol/skx
CFR,"Cullen/Frost Bankers, Inc.",82.7,$5.18B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cfr
HPP,"Hudson Pacific Properties, Inc.",33.43,$5.17B,2010,Finance,Real Estate,https://old.nasdaq.com/symbol/hpp
LEG,"Leggett & Platt, Incorporated",39.15,$5.17B,n/a,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/leg
NYCB,"New York Community Bancorp, Inc.",11.06,$5.17B,n/a,Finance,Banks,https://old.nasdaq.com/symbol/nycb
OMF,"OneMain Holdings, Inc.",37.86,$5.16B,2013,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/omf
POR,Portland General Electric Company,57.65,$5.15B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/por
PII,Polaris Inc.,83.38,$5.13B,n/a,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/pii
PFGC,Performance Food Group Company,43.66,$5.12B,2015,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/pfgc
TEO,Telecom Argentina Stet - France Telecom S.A.,11.89,$5.12B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/teo
FR,"First Industrial Realty Trust, Inc.",39.97,$5.08B,1994,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/fr
SERV,"ServiceMaster Global Holdings, Inc.",37.43,$5.08B,2014,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/serv
JBGS,JBG SMITH Properties,37.69,$5.06B,2017,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/jbgs
OSK,Oshkosh Corporation,73.88,$5.05B,n/a,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/osk
SPN,"Superior Energy Services, Inc.",3.43,$5.04M,n/a,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/spn
BRFS,BRF S.A.,6.18,$5.02B,n/a,Consumer Non-Durables,Meat/Poultry/Fish,https://old.nasdaq.com/symbol/brfs
MTZ,"MasTec, Inc.",52.38,$4B,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/mtz
TPB,"Turning Point Brands, Inc.",25.41,$499.61M,2016,Consumer Non-Durables,Tobacco,https://old.nasdaq.com/symbol/tpb
OLP,"One Liberty Properties, Inc.",25.06,$499.33M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/olp
EEX,"Emerald Holding, Inc.",6.95,$496.06M,2017,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/eex
TNK,Teekay Tankers Ltd.,14.7,$494.29M,2007,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/tnk
CORR,"CorEnergy Infrastructure Trust, Inc.",36.29,$491.18M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/corr
APD,"Air Products and Chemicals, Inc.",224.09,$49.45B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/apd
AON,Aon plc,212.22,$49.15B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/aon
SOI,"Solaris Oilfield Infrastructure, Inc.",10.55,$486.97M,2017,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/soi
GCO,Genesco Inc.,33.08,$486.28M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/gco
AVD,American Vanguard Corporation,16.07,$485.1M,n/a,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/avd
MYE,"Myers Industries, Inc.",13.62,$483.78M,n/a,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/mye
CO,Global Cord Blood Corporation,3.98,$483.77M,n/a,Finance,Business Services,https://old.nasdaq.com/symbol/co
BTE,Baytex Energy Corp,0.8654,$483.16M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/bte
CPLG,CorePoint Lodging Inc.,8.4,$481.48M,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cplg
AVH,Avianca Holdings S.A.,3.86,$481.05M,2013,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/avh
SBR,Sabine Royalty Trust,32.98,$480.83M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/sbr
IO,Ion Geophysical Corporation,3.44,$48.93M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/io
BBDO,Banco Bradesco Sa,6.04,$48.52B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/bbdo
CRT,Cross Timbers Royalty Trust,8.08,$48.48M,1992,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/crt
SHW,Sherwin-Williams Company (The),525.36,$48.45B,n/a,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/shw
WM,"Waste Management, Inc.",113.62,$48.26B,n/a,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/wm
GD,General Dynamics Corporation,166.14,$48.12B,n/a,Capital Goods,Marine Transportation,https://old.nasdaq.com/symbol/gd
AXR,AMREP Corporation,5.9,$48.01M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/axr
CLW,Clearwater Paper Corporation,28.92,$477.64M,n/a,Basic Industries,Paper,https://old.nasdaq.com/symbol/clw
TGH,Textainer Group Holdings Limited,8.36,$475M,2007,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/tgh
PAR,PAR Technology Corporation,27,$473.92M,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/par
CEPU,Central Puerto S.A.,3.13,$471.12M,2018,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cepu
RELX,RELX PLC,24.69,$47.74B,2015,Consumer Services,Publishing,https://old.nasdaq.com/symbol/relx
NSC,Norfolk Southern Corporation,184.28,$47.52B,n/a,Transportation,Railroads,https://old.nasdaq.com/symbol/nsc
REX,REX American Resources Corporation,74.61,$469.54M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/rex
ETM,Entercom Communications Corp.,3.49,$467.42M,1999,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/etm
WPG,Washington Prime Group Inc.,2.5,$466.5M,2014,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/wpg
CTT           ,"CatchMark Timber Trust, Inc.",9.44,$462.64M,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ctt
GLOG,GasLog LP.,5.7,$460.16M,2012,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/glog
ABB,ABB Ltd,21.95,$46.82B,n/a,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb
HT,Hersha Hospitality Trust,11.82,$456.89M,1999,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ht
FC,Franklin Covey Company,33.03,$456.81M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/fc
STG,Sunlands Technology Group,2.68,$456.7M,2018,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/stg
RGS,Regis Corporation,12.81,$455.6M,1991,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/rgs
PZN,Pzena Investment Management Inc,6.5,$454.86M,2007,Finance,Investment Managers,https://old.nasdaq.com/symbol/pzn
FF,FutureFuel Corp.,10.37,$453.62M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ff
OMN,OMNOVA Solutions Inc.,10.09,$452.57M,n/a,Basic Industries,Specialty Chemicals,https://old.nasdaq.com/symbol/omn
OIS,"Oil States International, Inc.",7.48,$451.81M,2001,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/ois
CAL,"Caleres, Inc.",11.13,$451.15M,n/a,Consumer Non-Durables,Shoe Manufacturing,https://old.nasdaq.com/symbol/cal
