Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
MPLX,MPLX LP,19,$20.11B,2012,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/mplx
AEE,Ameren Corporation,81.57,$20.07B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/aee
PBA,Pembina Pipeline Corp.,36.56,$20.03B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/pba
AME,"AMTEK, Inc.",87.36,$20.02B,n/a,Consumer Durables,Metal Fabrications,https://old.nasdaq.com/symbol/ame
BKU,"BankUnited, Inc.",30.49,$2.9B,2011,Finance,Savings Institutions,https://old.nasdaq.com/symbol/bku
CNNE,"Cannae Holdings, Inc.",36.49,$2.9B,2017,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/cnne
FTCH,Farfetch Limited,9.51,$2.9B,2018,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ftch
KWR,Quaker Chemical Corporation,163.31,$2.9B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/kwr
AB,AllianceBernstein Holding L.P.,30.51,$2.99B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ab
CCU,"Compania Cervecerias Unidas, S.A.",16.14,$2.98B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/ccu
WMS,"Advanced Drainage Systems, Inc.",43.24,$2.97B,2014,Capital Goods,Containers/Packaging,https://old.nasdaq.com/symbol/wms
OFC,Corporate Office Properties Trust,26.51,$2.97B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ofc
MANU,Manchester United Ltd.,18.04,$2.97B,2012,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/manu
ADSW,"Advanced Disposal Services, Inc.",32.96,$2.96B,2016,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/adsw
BYD,Boyd Gaming Corporation,26.63,$2.96B,1993,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/byd
APLE,"Apple Hospitality REIT, Inc.",13.16,$2.95B,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aple
CNK,Cinemark Holdings Inc,25.17,$2.95B,2007,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/cnk
CVI,CVR Energy Inc.,29.39,$2.95B,2007,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cvi
KW,Kennedy-Wilson Holdings Inc.,20.63,$2.94B,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/kw
ITGR,Integer Holdings Corporation,89.1,$2.92B,n/a,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/itgr
UNVR,Univar Solutions Inc.,17.28,$2.92B,2015,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/unvr
EBS,"Emergent Biosolutions, Inc.",55.32,$2.86B,2006,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ebs
PGRE,"Paramount Group, Inc.",12.51,$2.85B,2014,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/pgre
BB,BlackBerry Limited,5.14,$2.84B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/bb
ERJ,Embraer S.A.,15.42,$2.84B,2000,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/erj
ASGN,ASGN Incorporated,53.47,$2.82B,1992,Technology,Professional Services,https://old.nasdaq.com/symbol/asgn
LAD,"Lithia Motors, Inc.",120.52,$2.81B,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/lad
ENS,Enersys,63.86,$2.7B,2004,Consumer Non-Durables,Telecommunications Equipment,https://old.nasdaq.com/symbol/ens
PBF,PBF Energy Inc.,22.53,$2.7B,2012,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/pbf
CNMD,CONMED Corporation,97.81,$2.79B,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/cnmd
EVR,Evercore Inc.,68.73,$2.79B,2006,Finance,Investment Managers,https://old.nasdaq.com/symbol/evr
THC,Tenet Healthcare Corporation,26.74,$2.79B,n/a,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/thc
DAO,"Youdao, Inc.",25,$2.79B,2019,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dao
CMD,Cantel Medical Corp.,65.37,$2.78B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/cmd
TCP,"TC PipeLines, LP",37.91,$2.78B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/tcp
EE,El Paso Electric Company,67.92,$2.77B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/ee
PDM,"Piedmont Office Realty Trust, Inc.",21.97,$2.77B,n/a,Consumer Services,Building operators,https://old.nasdaq.com/symbol/pdm
B,"Barnes Group, Inc.",54.22,$2.76B,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/b
SHI,"SINOPEC Shangai Petrochemical Company, Ltd.",25.52,$2.76B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/shi
ASB,Associated Banc-Corp,17.53,$2.74B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/asb
IVR,INVESCO MORTGAGE CAPITAL INC,16.61,$2.74B,2009,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ivr
AAN,"Aaron&#39;s,  Inc.",40.95,$2.73B,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan
ENBL,"Enable Midstream Partners, LP",6.25,$2.72B,2014,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/enbl
MUR,Murphy Oil Corporation,17.8,$2.72B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mur
OVV,Ovintiv Inc.,10.48,$2.72B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ovv
